"productID","name","description"
"5ecabc9a-3e4c-44a3-bdeb-aca7b744e0a8","FABULOSO VAINILLA 200ML CD 955","FABULOSO VAINILLA 200ML CD 955"
"afcfe108-63fb-4369-a172-f439a29cb624","FOUR LOKO GREEN 12% ALCOHOL LATA 473ML","FOUR LOKO GREEN 12% ALCOHOL LATA 473ML"
"dc694732-c1a9-4a94-b208-0d6b6f6bb0d5","FLOTADOR BRAZO","FLOTADOR BRAZO"
"c04f7fd5-717a-4409-b7d2-32a38091055e","DAILYS PIÑA COLADA SIN ALCOHOL 1.75L ID:872","DAILYS PIÑA COLADA SIN ALCOHOL 1.75L ID:872"
"d0034f55-aacc-4630-bfe4-2a1560b7f8e4","TEQUILA CENOTE AGAVE AZUL AÑEJO ID:12591 PRVD:SJ CD:SJ51625","TEQUILA CENOTE AGAVE AZUL AÑEJO ID:12591 PRVD:SJ CD:SJ51625"
"331215f2-9702-4c3e-989e-41fbd85bcc41","CHOCO TWEETT 150G","CHOCO TWEETT 150G"
"21aba6f6-e117-4738-8d24-2405435b5db2","AVON CARE CREMA DE MANOS PIEL SECA ACEITE DE AGUACATE 75G","AVON CARE CREMA DE MANOS PIEL SECA ACEITE DE AGUACATE 75G"
"751d7cd6-3d80-4003-9a70-966c5d0afa6a","DESODORANTE BABARIA ALOE 50ML","DESODORANTE BABARIA ALOE 50ML"
"66fe25ae-0b59-4476-9d11-778b9fa94b7f","BOLSA BIODEGRADABLE","BOLSA BIODEGRADABLE"
"039ec024-d8c4-4d1e-8356-d423bd784c5e","ARDEN FOR MEN POWER PROTECH 30G","ARDEN FOR MEN POWER PROTECH 30G"
"1a9ea4f2-1e3c-46e8-92a5-144dfe553946","BON O BON SURTIDO 255G CD 12110","BON O BON SURTIDO 255G CD 12110"
"fe5a7522-6fe6-4030-82c7-79b9490f35e5","TANGA, RECAMIER GEL BRONCEADOR, SPF 2, 200ML","TANGA, RECAMIER GEL BRONCEADOR, SPF 2, 200ML"
"c778ddf8-5458-4f75-8edf-9880914260d1","SHAMPOO NUTRICIÓN ÓLEO MICELAR ID:11136","SHAMPOO NUTRICIÓN ÓLEO MICELAR ID:11136"
"0323618e-4820-4c70-bb1b-9692489e5f04","TEQUILA ARRAIGO","TEQUILA ARRAIGO"
"6d0f4afa-2cd6-4314-afcd-7c1098571f23","CHOCOLATE GAROTO CAJA SURTIDA 128G","CHOCOLATE GAROTO CAJA SURTIDA 128G"
"73d701b9-1f7c-4fa2-ada4-20ceb8aee68f","ACONDICIONADOR SAVITAL COLAGENO Y SÁBILA 530ML","ACONDICIONADOR SAVITAL COLAGENO Y SÁBILA 530ML"
"86b7ad0f-6354-41db-b9bb-00b3d2711b83","DESODORANTE BALANCE WOMEN CLINICAL PROTECTION 30 GR","DESODORANTE BALANCE WOMEN CLINICAL PROTECTION 30 GR"
"0de78c6f-a0b3-4e57-86db-9757d7faddf9","SANTA HELENA VARIETAL CABERNET SAUVIGNON 750ML","SANTA HELENA VARIETAL CABERNET SAUVIGNON 750ML"
"63215900-1d29-45e4-bda9-2ee97e1ad471","SANTIN NOEL TRADICIONAL 300G CD 7473","SANTIN NOEL TRADICIONAL 300G CD 7473"
"a73c8cfe-c2cd-4ded-9eb2-ea4a602b78f4","BRANDY NAPOLEON FRENCH SPIRIT 700 ML","BRANDY NAPOLEON FRENCH SPIRIT 700 ML"
"75143ffa-5658-4d7f-9409-db79f07ae6c4","ARGAN OÍL CREAN DE PEINADO ID:1049","ARGAN OÍL CREAN DE PEINADO ID:1049"
"895090ae-1374-4523-864b-19b72fd20bfc","BALDE PLAYERO MEDIANO","BALDE PLAYERO MEDIANO"
"bde89d52-7f33-455c-973d-e49fd9d4cb7e","C&C ORANGE LATA 9237","C&C ORANGE LATA 9237"
"990b22e6-5561-4bb0-a2c3-985d01ca6424","CREMA BIOXTREMA ULTRA BIO MORINGA HIDROLIZADA 59ML","CREMA BIOXTREMA ULTRA BIO MORINGA HIDROLIZADA 59ML"
"2c25f1c8-c32f-434a-93d2-899f33a5c01c","DULCES IMPACT WERHEADS GALACTIC CUBES PEG BAG 127G","DULCES IMPACT WERHEADS GALACTIC CUBES PEG BAG 127G"
"4dfab8d2-30e7-4c6c-98bd-5443ded356ad","CERVEZA DESPERADOS ORIGINAL BOTELLA 330 ML","CERVEZA DESPERADOS ORIGINAL BOTELLA 330 ML"
"f141097a-d7e1-4c87-8f83-99ff09f85ec4","AGRADO BRUMA SECA SOLAR AEROSOL 30SPF 200ML","AGRADO BRUMA SECA SOLAR AEROSOL 30SPF 200ML"
"af9566c5-54b6-4cc2-be42-1e3e6563d296","AZÚCAR RIOPAILA","AZÚCAR RIOPAILA"
"e9af9984-413b-429b-bc85-93a86adec9f3","BURBU JET COOKIES AND CREAM 50G CD 10628","BURBU JET COOKIES AND CREAM 50G CD 10628"
"625df596-e3d7-4810-9bd6-634ec71813c2","FLOTADOR REDONDO INTEX","FLOTADOR REDONDO INTEX"
"67bafa38-bd7f-47ff-8175-ec1c9939517d","DEGREE DRY PROTECTION SHEER POWDER INVISIBLE SOLID 74 GR","DEGREE DRY PROTECTION SHEER POWDER INVISIBLE SOLID 74 GR"
"2e6df3cb-1da6-4bdd-9dd4-13462a714202","BILAC AVENA 200ML","BILAC AVENA 200ML"
"5299e51f-fb0e-43c0-bd5f-e9e28ca32032","BARTON&GUESTIER SAUVIGNON BLANC RESERVÈ 750ML","BARTON&GUESTIER SAUVIGNON BLANC RESERVÈ 750ML"
"b80e9643-32b7-4acd-9a2c-30c5b0c89e87","VINO ESPUMOSO JP CHENET ICE ROSADO 750ML","VINO ESPUMOSO JP CHENET ICE ROSADO 750ML"
"201b3de8-0c45-4e42-b194-65c915b3786c","EVEREADY LINTERNA COD: 13214","EVEREADY LINTERNA COD: 13214"
"80de2acb-ab75-4ec6-9f7c-e1bc15e0e6b2","DOVE ACONDICIONADOR 400ML CD 11120","DOVE ACONDICIONADOR 400ML CD 11120"
"499a89ca-c37f-4b54-a72b-29cd422bb122","CERVEZA BROK EXPORT LATA 330ML","CERVEZA BROK EXPORT LATA 330ML"
"4bb24b7a-6f86-4da2-bc06-2b4a317359e4","CREMA PARA PEINAR SAVITAL CON MULTIVITAMINAS Y SABILA 22ML","CREMA PARA PEINAR SAVITAL CON MULTIVITAMINAS Y SABILA 22ML"
"b5790bb0-d512-489b-b904-5d3724a2813f","CHIPIRRINES MANOTAS","CHIPIRRINES MANOTAS"
"05e44160-8ca6-4726-9540-49ec0398187b","AGUARDIENTE BLANCO DEL VALLE SIN AZUCAR 375 ML","AGUARDIENTE BLANCO DEL VALLE SIN AZUCAR 375 ML"
"404d47d1-9b5f-41cb-9387-33179979c89f","CREMA PARA PEINAR SAVITAL 25ML KERATINA Y SÁBILA CD2340","CREMA PARA PEINAR SAVITAL 25ML KERATINA Y SÁBILA CD2340"
"271da8bc-77ff-4f54-b7fe-3e919d2d88e9","FOUR LOKO GOLD 12% ALCOHOL EN LATA 473ML","FOUR LOKO GOLD 12% ALCOHOL EN LATA 473ML"
"a07fcb53-b26f-4dd8-b473-a840b3e1a493","CHIVAS REGAL EXTRA 13 AÑOS BLENDED SCOTCH WHISKY 700 ML TEQUILA CASK SELECTION","CHIVAS REGAL EXTRA 13 AÑOS BLENDED SCOTCH WHISKY 700 ML TEQUILA CASK SELECTION"
"f232ae1b-e0cf-4624-bc3b-979fddcb9334","COCKTAIL YACHTING SEX ON THE BEACH 700ML","COCKTAIL YACHTING SEX ON THE BEACH 700ML"
"bbae7ac1-ad72-4f8b-8c4b-5e24a1ed78e8","DETODITO BBQ 45GR","DETODITO BBQ 45GR"
"3d78ceee-c661-44d1-a7c3-2a4f6c6a5d9d","CHOCOLATE MILKY WAY BARRA 52.2 GR","CHOCOLATE MILKY WAY BARRA 52.2 GR"
"a4a530ca-f5c2-4500-bde9-d01e39bee471","ALPINA YOGURT ORIGINAL CON TROZOS DE FRUTA MELOCOTÒN 150 GR","ALPINA YOGURT ORIGINAL CON TROZOS DE FRUTA MELOCOTÒN 150 GR"
"59ebdbcf-f9fa-4afe-9e4e-f073a5a1e6a8","FANCY-FULL 23 450ML","FANCY-FULL 23 450ML"
"afabf24b-19cf-4225-b9b8-2b97cf9c4a60","VUSE GO 700 MENTHOL ICE","VUSE GO 700 MENTHOL ICE"
"68e5d143-ae1c-45c1-8ded-ed07bf4337ba","TAPETES ABSORBENTES PARA MACOTAS PETYS ULTRA ABSORCIÒN 56CM X 58CM 12 UNIDADES","TAPETES ABSORBENTES PARA MACOTAS PETYS ULTRA ABSORCIÒN 56CM X 58CM 12 UNIDADES"
"6cb7d58d-e104-4a5d-8df0-e10f90b38663","BAILEYS ESPRESSO CRÈME - THE ORIGINAL IRISH CREAM 1LT","BAILEYS ESPRESSO CRÈME - THE ORIGINAL IRISH CREAM 1LT"
"f647982c-c72c-4018-93d4-505eb6e700c3","FLORBU COOKIES GOURMET LIMÓN CON CHOCOLATE BLANCO 120G","FLORBU COOKIES GOURMET LIMÓN CON CHOCOLATE BLANCO 120G"
"e30cfd55-4b24-4a53-8d94-005671657d2d","BARY SALSA DE TOMATE 170GR","BARY SALSA DE TOMATE 170GR"
"7934ae36-cdab-4339-97e7-a1deb8126d1d","BLOQUEDOR EN CREMA TANGA 50SPF - SUN ACTIVE DEFENSE 250ML","BLOQUEDOR EN CREMA TANGA 50SPF - SUN ACTIVE DEFENSE 250ML"
"6808202e-7666-43b1-a832-bc775278bbd7","CHOCOLATE BABYRUTH 53.8GR","CHOCOLATE BABYRUTH 53.8GR"
"a4fc5356-dfb6-4913-93bb-579f368a8bf8","AUSTRALIAN GOLD SOOTHING ÁLOE GEL 237ML CD 9966","AUSTRALIAN GOLD SOOTHING ÁLOE GEL 237ML CD 9966"
"124aef7d-f7f3-47ed-90b2-864647904a57","ARIZONA PEACH ICED TEA 11373","ARIZONA PEACH ICED TEA 11373"
"0f76c466-bc96-45fd-b36e-1e6abe5c99fc","APERITIVO VINICO COCA BEKA 375ML","APERITIVO VINICO COCA BEKA 375ML"
"14058f9f-de6c-468d-919c-e1b4a87a1c34","FLOR DE CAÑA RON 7AÑOS LITRO ID:2538","FLOR DE CAÑA RON 7AÑOS LITRO ID:2538"
"fe109753-e7f4-4030-b584-5d1384f4053c","ADVANCE TECH AVON 750ML NUTRICIÓN ABSOLUTA SHAMPOO ID:11214 PRVD:AVN","ADVANCE TECH AVON 750ML NUTRICIÓN ABSOLUTA SHAMPOO ID:11214 PRVD:AVN"
"e444381f-8d9b-448e-8e5f-2524fca62896","ACEITE BRONCEADOR TANGA 4SPF UVB 185ML","ACEITE BRONCEADOR TANGA 4SPF UVB 185ML"
"6df61cd8-c7df-48fd-880f-52210ac65fa7","ARRURRÙ TOALLITAS HÙMEDAS EXTRA ACOLCHADITAS SIN ALCOHOL 20 UNIDADES","ARRURRÙ TOALLITAS HÙMEDAS EXTRA ACOLCHADITAS SIN ALCOHOL 20 UNIDADES"
"c864d4a0-e6ea-40a9-8919-cd48ecb44db1","AGUARDIENTE 750ML TAPA AZUL","AGUARDIENTE 750ML TAPA AZUL"
"b47d71ee-d044-4cf5-9d30-bd983fa05380","ELVAN TOFFIX ECLARIS CARAMELO COCOA 1KG","ELVAN TOFFIX ECLARIS CARAMELO COCOA 1KG"
"d48ad3c3-118d-4f6a-8239-37c8d7c00056","ENERGIZANTE BANG ENERGY SOUR HEADS 473ML","ENERGIZANTE BANG ENERGY SOUR HEADS 473ML"
"a59c708c-8996-4ab0-b259-7a60da218aac","ELVAN TRUFFLE CARAMELO 1000 GR","ELVAN TRUFFLE CARAMELO 1000 GR"
"f901791a-f859-4930-9d6c-ee769eea6bdf","ÁLOE VERA FRUIT PUNCH 355ML CD 12525","ÁLOE VERA FRUIT PUNCH 355ML CD 12525"
"ba193025-47f7-4371-a751-534bf04ab571","SANTA HELENA VARIETAL MERLOT 2020 CHILE 750ML","SANTA HELENA VARIETAL MERLOT 2020 CHILE 750ML"
"5deae41c-6bbe-495f-9cd7-086f92c21aae","EXÓTICO OIL INTENSIFIER 237ML CD 804","EXÓTICO OIL INTENSIFIER 237ML CD 804"
"ddc8cc33-6384-4058-b903-c89eeddbbaa4","CERVEZA MILLER LITE BOTELLA 300ML","CERVEZA MILLER LITE BOTELLA 300ML"
"1184a2ed-fc41-40c6-b7ca-b406364f4822","BROKER'S PREMIUM DRY GIN 750ML","BROKER'S PREMIUM DRY GIN 750ML"
"c7ed9a53-32d8-40ce-ae2b-300a4f002a6e","CHOCLITOS LIMÓN 210G","CHOCLITOS LIMÓN 210G"
"c00b7341-734d-4c3d-9cbe-57235418ab6c","COLA & POLA LATA 330CM","COLA & POLA LATA 330CM"
"56e4decd-5d64-4e09-beee-633b9ea25bf6","AGUARDIENTE SIN AZUCAR REAL 750ML","AGUARDIENTE SIN AZUCAR REAL 750ML"
"06dab837-59a4-4946-9aeb-0ade4f97cbcd","DESITIN CREAMY 57G","DESITIN CREAMY 57G"
"b0eaae64-1ca8-4c6d-beb5-9442ca820edc","COCA-COLA ORIGINAL 3L","COCA-COLA ORIGINAL 3L"
"0daef4b0-deb0-400d-8853-0674d4d5be09","CAFÉ SOLUBLE NESCAFE TRADICIÓNAL 50G","CAFÉ SOLUBLE NESCAFE TRADICIÓNAL 50G"
"2c8842b0-3beb-4e7a-88ab-fcc356121def","CLUB COLOMBIA NEGRA 330ML ID:2510","CLUB COLOMBIA NEGRA 330ML ID:2510"
"36d2f434-9683-4d8a-8a04-2736572119f7","ARIZONA RASPBERRY 10715","ARIZONA RASPBERRY 10715"
"955c9da0-6b91-4fa6-a711-5a385cc2926d","FRUCTIS TOMATE ID:2454","FRUCTIS TOMATE ID:2454"
"e093e6cb-394a-419c-846f-1c91ffbfbfe4","COGNAC VSOP NORMANDIN 700ML","COGNAC VSOP NORMANDIN 700ML"
"893b30ab-cad1-4cfb-9b1a-8a857c5c886d","CHOCOLATE JET CON LECHE 12 GR","CHOCOLATE JET CON LECHE 12 GR"
"d4cab41a-43c5-4f7b-b9fd-538a1d271d4e","CAFÉ CASA CAFE 200DOCE 1810-2022 EMPAQUE NARANJA 250GR","CAFÉ CASA CAFE 200DOCE 1810-2022 EMPAQUE NARANJA 250GR"
"9e1c669a-f81d-4403-9cd3-78ea3550f0b3","ABSOLUT VODKA 350ML","ABSOLUT VODKA 350ML"
"02a6d341-b82b-4b14-9f7f-b6436bf90ef4","CHOCOLATE SNICKERS 6PACK FUN SIZE 96.4G","CHOCOLATE SNICKERS 6PACK FUN SIZE 96.4G"
"7fd20338-5c61-4868-be5c-89e3bf0b4710","CERVEZA LATA AMSTEL SLOW BREWED EXTRA MATURED 330 ML","CERVEZA LATA AMSTEL SLOW BREWED EXTRA MATURED 330 ML"
"f3145a8b-9271-4345-8e66-5d90c733952e","CHEETOS TRISSITOS PICANTE 39G CD.11253","CHEETOS TRISSITOS PICANTE 39G CD.11253"
"470085f1-a793-4c3d-a814-b061d6874245","CREMA ÁRNICA 30 GR","CREMA ÁRNICA 30 GR"
"80df4423-14ae-4ce9-8c89-a4add6ba7ecc","ESPECIAL MIX PASAS 200G CD 353","ESPECIAL MIX PASAS 200G CD 353"
"7305cf28-f7a2-4a20-89ed-6a2c9d34835e","ARIZONA FRUIT PUNCH 591ML CD258","ARIZONA FRUIT PUNCH 591ML CD258"
"a1b6b970-fedf-463d-8a2d-7057af1c2b94","CLUB SOCIAL INTEGRAL 24 G","CLUB SOCIAL INTEGRAL 24 G"
"4e781725-e1be-41c7-af3c-e5a63bf8fdea","BESO DE AMOR 16G","BESO DE AMOR 16G"
"069cd06b-819b-4483-8d0f-c28029a3e28f","AGUARDIENTE BLANCO DEL VALLE FIESTA 375ML","AGUARDIENTE BLANCO DEL VALLE FIESTA 375ML"
"9b20090f-edaf-4c0a-827f-c2f790283a76","CHOCORAMO 65G","CHOCORAMO 65G"
"044e03f6-fdc1-4dd6-8b6b-1d1feea8614d","ACONDICIONADOR SAVITAL CON ACEITE DE ARGAN Y SABILA 22ML","ACONDICIONADOR SAVITAL CON ACEITE DE ARGAN Y SABILA 22ML"
"b5ba28f0-9725-4579-b1b8-93f311cbe840","CHOCOLATE M&M`S 45GR","CHOCOLATE M&M`S 45GR"
"1e7ac9bd-7fea-44cd-a8d0-72f83119b79d","COMBOS CHEDDAR CHEESE 48.2 GR","COMBOS CHEDDAR CHEESE 48.2 GR"
"bfd71279-057d-4950-8d50-122eb1ce7e6c","APERITIF ANISÉ RICARD 700ML","APERITIF ANISÉ RICARD 700ML"
"b35fdeaa-9024-4a66-9741-0042d344f339","DE TODITO NATURAL GRANDE 150G 5136","DE TODITO NATURAL GRANDE 150G 5136"
"d8fc4a6e-6e14-431e-8077-8e79aa6d56de","ARGAN SPRAY","ARGAN SPRAY"
"8e0d6a43-4316-4344-9118-e211f54dfb7f","CERVEZA WEIDMANN PILSENER 330 ML","CERVEZA WEIDMANN PILSENER 330 ML"
"fe2d5b62-5528-4a4e-9e8e-3a786f70347a","AGRADO ACEITE SOLAR 8SPF 200ML","AGRADO ACEITE SOLAR 8SPF 200ML"
"7de78a6b-82c7-4e6a-b5d1-fef98e41c59e","CHOCOLATE CARIOCA AMOR 20GR","CHOCOLATE CARIOCA AMOR 20GR"
"cb9b1f56-cee3-4196-af8f-abf0c4e52961","DE TODITO FLAMIN`HOT 50 GR","DE TODITO FLAMIN`HOT 50 GR"
"e86800df-74b4-48c6-b689-4bc830870386","CERVEZA AGUILA LIGHT LATA 330ML","CERVEZA AGUILA LIGHT LATA 330ML"
"74b55297-439e-40ff-bd56-b16b047b072a","DULCE DE CAFÉ JUAN VALDEZ CARAMELOS BLANDOS 20 UDS 80GR","DULCE DE CAFÉ JUAN VALDEZ CARAMELOS BLANDOS 20 UDS 80GR"
"53722707-fa42-4e29-b643-02c1f8356228","AGRADO CREMA SOLAR 50SPF 250ML","AGRADO CREMA SOLAR 50SPF 250ML"
"5d039cbe-fb15-42bb-931d-e8e792183ca4","TAMPONES NOSOTRAS CONFIANZA-V REGULAR SIN APLICADOR 10 UDS.","TAMPONES NOSOTRAS CONFIANZA-V REGULAR SIN APLICADOR 10 UDS."
"ad5d3361-bf16-4783-a670-2759e85670d8","BASILICA SAMBUCA LIQUORE 750ML 11371","BASILICA SAMBUCA LIQUORE 750ML 11371"
"50445d20-9aa7-4d4c-8004-75ef04c35665","CARETAS DIVING-CLASS KIDS","CARETAS DIVING-CLASS KIDS"
"15725785-8613-472d-a5f3-d67f950e3269","EKII BUBBLES APPLE GINGER MANZANA VERDE, JENGIBRE 207ML","EKII BUBBLES APPLE GINGER MANZANA VERDE, JENGIBRE 207ML"
"6f7fa13a-ef7d-497d-85b8-b0f5402205da","FRUCTIS CONDITIONER MOISTURE LOCK KIWI ID:2220 621ML","FRUCTIS CONDITIONER MOISTURE LOCK KIWI ID:2220 621ML"
"4c7e25e3-bd8d-47c5-990d-f8bcb2021392","CARETA PRODIVER SOLA BOLSA","CARETA PRODIVER SOLA BOLSA"
